App,Lingua,Valutazione,Utente,Data,Recensione
KitchenPal,EN,3,Jamie Lechner,2024-08-01 15:37:38,Many brand name products in my kitchen were unidentified and suggested recipes involved only ingredients not in my pantry 🤷🏼‍♀️ ETA: The response provided me no help. I have already decided to remove such a useless app.
KitchenPal,EN,3,Jill Guess,2024-07-31 21:24:01,"I would give this a 5 star. I paid for the $30.00 lifetime membership, but the app keeps crashing on me. Every time I get on, it shuts down, or I have to click ""close app"" or ""wait."" I have to refresh the screen, or I would be waiting forever."
KitchenPal,EN,5,Ambreen Syed,2024-07-26 15:55:23,very good
KitchenPal,EN,3,Paula Barnes,2024-07-18 18:29:16,"it's better than nothing, but i have many more allergies that can be listed."
KitchenPal,EN,5,Dana Macera Arteaga,2024-07-17 07:06:12,Really good!
KitchenPal,EN,1,Rick “Rabe” Ryerson,2024-07-13 20:01:19,"I really don't like this app. First, you can't import recipes to it from the web. Sure, it maintains a link to the recipe you are importing, but if that page moves or the site is not available, then you're out of luck. It won't import from recipe keeper. Next, the ingredient interpretation leaves everything to be desired. A can of diced tomatoes and it'll tell you that you need whole tomatoes. And you can't change it. Pantry sucks to. You can add 14 or 21 ounces of chicken. Not 16 tho."
KitchenPal,EN,5,Debbie McGovern,2024-07-09 20:34:07,good helping app
KitchenPal,EN,5,Aaron WINSHIP,2024-07-07 02:09:46,Great app that can track your groceries. Can be shared between people so you don't double-up when out shopping and forget if you already have items at home.
KitchenPal,EN,3,Michael Blake,2024-07-05 22:23:22,"The idea is great. Only things that put me off were the fact you HAVE to upload your recipes to be checked by someone before they're available. You then cannot change your recipes. I just want to keep track of how much I have of certain ingredients to make my favourite recipes. I don't want to upload them. I spent ages trying to input a recipe for myself, had to save it halfway through, only to find I couldn't change it afterwards, and some of the ingredients I put had been substituted."
KitchenPal,EN,4,Kinga Gabrielson,2024-07-04 03:56:46,"love this app, the barcode feature is really handy I organized my whole pantry with it! I'm already out of scans tho so I'll have to buy the app if I want to add.. don't know if I want to shell out 30 dollars for it just yet buy besides that great design and options for inventory and dinner ideas !"
KitchenPal,EN,5,Jesse Gargarita,2024-07-01 10:43:44,Great customer service
KitchenPal,EN,5,Rachel North,2024-06-26 05:25:12,"This app has all the features you could want for kitchen and food inventory. It works well and has a nice interface and just so many useful functions, including sharing a kitchen with more people. On top of that, there's an option to get Premium for a lifetime, which is really, really nice in a world where almost everything is purely subscription based, which can be hard to afford. And perhaps most important, the customer service is amazing! I'd write more but I'm out of space; get this app!"
KitchenPal,EN,4,Matthew Ford,2024-06-26 02:49:16,"First impressions are good. However, I really want a more efficient interface for entering expiry dates. Date pickers with spinners are terribly slow to use. I would much prefer a numeric keypad interface for dates - so if the product label says ""07/07/24"", I can quickly tap 0-7-0-7 to enter the date. (The year would default to the next occurrence of that day/month, unless entered explicitly.) I believe this would be at least 5 times faster than scrolling the spinners to the correct date."
KitchenPal,EN,5,Ekaterina Volkov,2024-06-22 16:26:37,"Great app, like using it so far. A couple of suggestions: a list of foods that are near the expiration date would be great, I like to see what needs to be used first without scrolling and checking all the food items I have; adding food in custom set amounts, like I want to know if I have 250gr of lentils or just 50gr left; also adding expiry date when we add food would be great, so we won't need to look for the food item we just added and set an expiration date."
KitchenPal,EN,3,Sean Malone,2024-06-21 15:09:30,"Used extensively for first month. It is the app I need but right now it's quite buggy. It's also a bit slow and stops working frequently. The automatic adding to the shopping list is unpredictable and the interface is a bit clunky. I've used several list apps in the past and KitchenPal comes closest to my needs, I'll try it again when it has matured."
KitchenPal,EN,5,Erica Paramel,2024-06-20 04:58:14,Great app and easy to use! only wish there was an option to sort things based on where they are in your home. it auto sorted mine based on its algorithm and won't let me change.
KitchenPal,EN,5,Shayna Easop,2024-06-19 18:49:57,Love the suggested organization and recipes!
KitchenPal,EN,4,Dave Currall,2024-06-18 00:27:22,it's not bad... you have to enter the expiration time manually
KitchenPal,EN,5,Nicole Priestley,2024-06-17 13:06:06,Love this app! So good when at the supermarket to see what I already have. It's so convenient.
KitchenPal,EN,4,Alex Thomas,2024-06-16 20:23:02,It's a good app. However PC integration would be make it the stand out choice. Along with batch import
KitchenPal,EN,1,WS,2024-06-16 03:15:11,"I've used this app for a long time, loved it. I have a lot of data in it. Now, I can't log in. I've tried everything."
KitchenPal,EN,5,Cato,2024-06-14 16:14:51,"This app combines all I ever wished for and makes it so convenient and easy to manage your shopping, storage, recipes and meal planning. I just love it!"
KitchenPal,EN,5,SoR86,2024-06-10 13:42:43,"Really helpful app , 100% recommend"
KitchenPal,EN,5,Kerrie Stevenson,2024-06-09 09:13:12,"Edit: True to the developers word, it's back being one of my most used apps. Thank you! OG: It was awesome for the 4 days it worked, now I can't sign in. It took a bit of time to set everything up too, just a bit frustrating. Hopefully it's just an update glitch and will work in a few days."
KitchenPal,EN,5,Joanna Barnard,2024-06-09 03:33:54,"I really love this app and it met all my needs. I scanned all my items, but was having trouble with opening the link to the recipe pages. Also the next day when I went to sign into my account the app wouldn't let me sign in."
KitchenPal,EN,3,aris aris,2024-06-08 23:58:49,"Suddenly I cannot access the app, even after reinstalling :("
KitchenPal,EN,1,Nicole Merkulovich,2024-06-08 23:35:34,"Created account, entered data, and now it refuses to let me log in to view my own data. Given time I wasted on this I am frustrated and do not recommend. Login loop is not fixed with repeated tries."
KitchenPal,EN,5,Crystal,2024-06-07 03:08:26,love the kitchen inventory function with scanner
KitchenPal,EN,2,Rachel Bolton,2024-06-04 21:37:15,"It looked like it would be good. But seems to only accept barcodes from major food corporations. Most of the things I buy there was no info available - I shop mostly at my local Syrian and Korean grocery stores. If I have to enter the info myself, it doesn't makeanaging my pantry faster or easier."
KitchenPal,EN,5,Riches Smile,2024-06-02 04:54:53,as new user it ...this app really helpful for minitoring.. We will edit this review once i will find some cons using this app for now its grear
KitchenPal,EN,5,Micha Musoke,2024-06-01 22:39:14,I really loved this app right away. I bought premium after a few hours of testing it out and really enjoyed it. I noticed an issue with my premium account and contacted support and they responded the same day and by the end of the day they had resolved the issue! Amazing app and customer service across the board!
KitchenPal,EN,3,Abigail Nelson,2024-05-30 06:45:20,"One of the better kitchen keepers I've tried so far. It would be amazing if I could do a batch import of my foods, similar to how the app is set up to do a batch export. Sometimes the app runs a little slow when trying to get everything catalogued, which makes it a little tedious. Additionally, not all of the recipes that I find in the app can successfully be added to the meal planner, which is frustrating."
KitchenPal,EN,2,Cor Solo,2024-05-28 19:56:16,"I'm frustrated.... I spent ages entering a recipe manually and it wouldn't connect to the server so I had to abandon it all 😒 I'm also finding that I can't correct some of the associated ingredients where they are clearly incorrect. It either doesn't save the changes or they don't exist in the ingredients list I really want to love this app. I've paid for premium and I've invested a lot of time entering my whole kitchen. Now I just want to enter some recipes, create a plan and shopping list ☹️"
KitchenPal,EN,5,Ashe Johnson,2024-05-28 00:19:03,"this is an excellent app, everything myself and my neurodivergent partner have been looking for!"
KitchenPal,EN,5,Julian Carro,2024-05-27 10:10:20,"We noticed we'd been throwing away a fair bit of food in the last few months. Stuff in the fridge we'd forgotten about, fruit, veg, cream, cheese, and some sliced meats. Resolved to make this a thing of the past with an app to keep an inventory and stay on top. We use Android and iOS so we need an app across both platforms. Delighted with KitchenPal! Kitchen shared, each makes changes, barcode scanning, sorting by category, by upcoming expiry. Great app and team! Lifetime subscription purchased"
KitchenPal,EN,5,Monica Runge,2024-05-25 07:25:02,Great app! Bought the lifetime premium with unlimited barcode scans. Shared my kitchen with my husband and initially had an error. But their customer service is phenomenal!!! Immediately fixed the issue and now we can both add items to my kitchen :)
KitchenPal,EN,5,Andrea Anna,2024-05-25 00:11:56,so far so good. love the recipe feature. thinking about buy the lifetime membership 🤔 will update.
KitchenPal,EN,5,Ashley Ann Germond,2024-05-20 18:48:24,I love this app. It's a food log for inventory in your house and it makes recipes with the stuff you have!!
KitchenPal,EN,1,Scott N,2024-05-19 17:10:13,Not easy after going through the routine of data entry. Has no way to account for bulk individual packaging with individual expiration dates. Nothing intuitive and not reliable for the effort.
KitchenPal,EN,4,Carol Barlow,2024-05-17 02:01:49,"Love the app. The ability to track expiration dates is awesome. Also, I really appreciate the accessibility of the nutritional information at my fingertips. I'm on a very strict medical diet, and this is making my meal planning a lot easier. I have one suggestion, though. I'd like to have the ability to search for items alphabetically. As it is, locating specific items is a bit cumbersome. I look forward to your updates."
KitchenPal,EN,1,Sandy,2024-05-14 02:56:50,UPDATE unless you want to pay for it don't get it I wasted my time. But they don't tell you till you get halfway done with your inventory Just downloaded it and did one bag of groceries before I started putting it away. Can't wait to get to my cupboard to get it all done. This is been what I've been looking for
KitchenPal,EN,5,Dee DiGiacomo,2024-05-13 17:08:09,I downloaded this app yesterday and I love it. I did however had some problems moving things around but customer service helped me and answered all my questions in a timely manner. You won't be disappointed with this app
KitchenPal,EN,5,TONY FABIAN,2024-05-11 23:36:05,"After reviewing information about Kitchenpal, It was a no-brainer to sign up for the premium lifetime option. I needed some help after sharing my kitchen with family. Even though it was late Eastern time, their team replied to my email in very short order. I did what they asked me to do and it resolved my issue. They followed up with me within a few minutes to be sure I was satisfied with the result. It was so easy to add items, and I can't wait to utilize all the other planners & features!!!"
KitchenPal,EN,2,Chris Fane,2024-05-09 15:27:29,"Scanned 8 random pantry items. 2 weren't in the system. 1 was in French, 2 were put in strange categories. Not good enough, unfortunately."
KitchenPal,EN,2,Neville FISHER,2024-05-06 11:10:05,Initial impressions: This app appears to be amazingly brilliant. Final impression: Found that the bar code database is almost useless. Have given up.
KitchenPal,EN,4,Jane Sanders,2024-05-04 15:30:01,"Works great. It's helping us get track of what we have in our freezer. I upgraded lasy month so I can additional storage spaces so I can keep track of what is where. And I am able to share my inventory with my household! I have 1 minor complaint - It is SLOW. Slow when creating a new item, slow during item search. But most frustrating is it's slow on the initial load. I have a lot of stuff logged, so I'd be tempted to blame this, but this load has been slow from day 1."
KitchenPal,EN,1,Stephanie,2024-04-29 16:28:14,All the recipes are wrong
KitchenPal,EN,3,Gary D,2024-04-28 17:47:51,"I like this but has it's pros and cons. PROS - scan makes it easy to add, recipes, create shopping lists. CONS - you dont get 100 scans with the free app (stops at about 70). There is a disconnect between the scan database & other add options. Neither voice nor text bring up branded items. Categories cannot be changed and seem arbritrary. I have canned veg, some in canned cat and some in vegetables category. Can't sort on your private fields (storage etc) Too many cons to subscribe."
KitchenPal,EN,3,Kara Fernstrom,2024-04-27 20:10:11,just checking it out now. Will update when I know more.
KitchenPal,EN,4,Lars Uriel,2024-04-25 19:34:12,"The app is decent but : It doesn't tell you how many of the 100 free scans you got left. The nutritional assessment is mostly incorrect I cant add expiration date of 31 dec 2025, it always set for 2026. It should enable you to switch storage as some are just incorrect That said , is a good app overall, but needs some polishing for me to decide to buy it at least. The scan feature is perfect, quick and reliable, the database of products is very good!"
KitchenPal,EN,5,Jesper Stouenborg,2024-04-19 06:19:56,Easy to use and organize kitchen. Easy to find gluten free recipes and choose other dietary preferences.
KitchenPal,EN,4,drumajo,2024-04-17 18:53:13,"Hey, I really like this app. But how can I easily multi select various items in my kitchen places to find recipes?"
KitchenPal,EN,2,Hoho,2024-04-09 10:20:54,"Very old looking UI, as well at the pantry selection you have to slide items? Why not check and scroll down, wanted to help my nan to categorise her stiff and it only made her hand cramp. As well basic pantry filling is missing a lot of basic items. /after seeing response: I know i can scan barcodes but you don't expect someone to unloadd whole kitchen to scan stuff? Or to add hundreds of items in there by voice. Found other app with larger database and it's categorised."
KitchenPal,EN,1,Briant Oblad,2024-04-05 21:36:24,"Had this app a couple years ago, but stopped using because it was always crashing. Just got it again and it's still crashing a lot. Updated to one star: My personal data was compromised in a recent breach, and the app is still unusable."
KitchenPal,EN,2,Courtney Burleson,2024-03-31 05:19:30,I try to delete a single item and it deleted everything I had in spices! What am I doing wrong? Thank you for the response - yes I had to add them all back from the shopping list but now I have to put all of the expiration dates back in. It's never done that to me until now.
KitchenPal,EN,5,Thu Ngo,2024-03-24 03:55:04,Day 2 of using the app. My pantry is looking organized.
KitchenPal,EN,3,TM “Nelly”,2024-03-18 23:25:50,didn't scan my shrimp from walmart. it's a pretty popular item tho.
KitchenPal,EN,3,Erzsébet Garber,2024-03-18 00:10:01,Super helpful for keeping track of inventory wish the Categorizing could be adjusted.
KitchenPal,EN,5,Daniel Chorley,2024-03-10 13:42:27,"First impressions: Wow. You have thought of everything I needed. Scan in products to place them into a storage area. You can customise the names of these storage areas and add new ones too - excellent. As you scan, the app seems to use it's existing database of products - perhaps looping into supermarket APIs? - to find your product. Don't have it? No sweat. Take 30 seconds to give it a name, add a photo, and it's in. Then gives you recepies, makes shopping lists... Love it. I'm likely to sub"
KitchenPal,EN,5,Tammy Switzer,2024-02-23 02:59:51,need to uprade
KitchenPal,EN,5,Alana Crossland,2024-02-21 20:11:34,"brilliant app, it's so helpful for me it has so many ideas an recipe's to help incorage me to eat more healthier. especially if you live alone it's worth downloading"
KitchenPal,EN,4,Prathaa Khandekar,2024-02-19 01:42:02,"It's a really good app. I would like to have a wider range of ingredients because it couldn't identify or register some Indian ingredients. Ao make it more inclusive for other countries, otherwise it's amazing"
KitchenPal,EN,5,Joe LaBelle,2024-02-18 03:10:13,Amazing! Exactly the tech component missing from our kitchen!
KitchenPal,EN,5,Nancy L Keeton,2024-02-14 02:33:34,"I was able to scan what food items I already had and then give a preference to what I like to eat and cook, they generate recipes and try to utilize what you already have. You can also make a meal plan and shopping list"
KitchenPal,EN,5,Fran Zardoya,2024-02-11 18:19:56,Is useful to track the pantry
KitchenPal,EN,5,Invisable Titanium,2024-02-11 07:51:32,Excellent kitchen App.
KitchenPal,EN,5,Melba Maysho,2024-02-11 04:06:53,Very helpful
KitchenPal,EN,3,Sean Rowland,2024-02-10 23:43:29,This almost gave me the optimal organization euphoria brain tingles. Would rate 5/5 if I could just use my bluetooth barcode scanners. Please add feature/support so I can pew pew while chasing that sweet OCD dopamine rush.
KitchenPal,EN,5,d Cochrane,2024-02-09 15:59:20,"I figured out a problem I was having. Thank goodness, because I use this app all the time and thought it had been changed. Glad it's working like usual. The app has helped keep my food inventory organized. One of the best purchases I've made."
KitchenPal,EN,5,Patti Rivard,2024-02-09 03:15:19,I absolutely love using this app! It helps me keep track of what's in my kitchen and pantry. Recently I had to reinstall it on my new phone as my old phone had died and their tech support was phenomenal! They were able to help me get it connected on my new phone and were able to reinstate my current lists from my old phone that was backed up in the cloud. They were very friendly and polite about it and super super helpful!
KitchenPal,EN,3,John C,2024-02-09 03:05:43,"Free basic stuff that is built up by sourcing user created info about food items. But most useful features are premium features. I added a bag of Great Value bacon bits (and other things) and asked it for recipe suggestions and the top 2 recipes were for how to cook bacon. So now I need to go adjust the bacon bits somehow, like explain they are already cooked tiny pieces. Update: I was able to update the associations for a couple of ingredients but others wouldn't update even after 5 tries."
KitchenPal,EN,1,Helen Harvey,2024-02-05 20:19:47,Would not open at all
KitchenPal,EN,3,"Death, Lies & Alibis",2024-02-04 17:53:19,love it but it keeps crashing and freezing up
KitchenPal,EN,1,Darla,2024-01-30 00:30:08,Paid the higher price for the one time purchase. I keep getting an error message and I was unable to delete or update items in my kitchen. I emailed and the only response I received was they wanted to know if anyone else was experiencing the same issue. I requested a refund since the app clearly didn't work and was denied. Also found out they had a data breach and potentially had customers information stolen. Would not recommend this app.
KitchenPal,EN,1,Aaron Bilawchuk,2024-01-28 18:50:54,"Terribly lacking for Canadian products. I was two items in to my list before hitting a roadblock. Not the simple and quick solution I was hoping for. Edit: After trying the app a 2nd time, I'm dropping my review from 2 stars to 1. Adding a new product is cumbersome and frustrating. It kept assuming incorrect ingredients, swapping the thumbnail to a wrong image, and wouldn't let me capitalize proper brand names. Searching is slow and yields poor results. This app is an overcomplicated mess."
KitchenPal,EN,3,Nolan,2024-01-26 04:02:32,will update later as i try the app more.(have had for very short) this needs a min/max option. my first thought is canned stuff we have a fifo rack and it fits a set amount depending on can size and such. would be nice to keep track in that way
KitchenPal,EN,4,Letha Wyble-Sagnimeni,2024-01-19 15:15:36,"I LOVE Kitchen Pal because it's EASY, and has EVERYTHING we need to organize our Kitchen by keepin us up to date on items (scan Product barcodes from yor Fridge and Pantry) about to expire, so we can use them before they go bad. It automatically keeps track of how low we are getting on items, and, makes Shopping Lists. It helps keep our Recipes in order. You can scan in your own, or from a magazine, or from the Intrnet. It also helps you make Meal Plans from the Ingredients you already have."
KitchenPal,EN,5,Pam Greer,2024-01-13 23:09:27,works awesome
KitchenPal,EN,3,Tara Greye,2024-01-13 22:07:27,"I love the concept, however, it will not allow you to modify where the app puts the products. For example, it placed the ranch dressing in the pantry category. I keep my ranch in the refrigerator. Also, I freeze a lot of my meat when I buy it but it automatically puts all the meat in the refrigerator. I even upgraded to the premium and it still just puts the products wherever it wants. Not happy about this."
KitchenPal,EN,4,Venita Davis,2024-01-08 22:26:21,"Flexible enough to manage your home effectively, but the app crashes often, which is very annoying when doing major updates. Also, there are some bugs with drag and drop- it slides all over the place where you cannot effectively drag over to another space before it scrolls past your location. It could improve upon multiselect options such as adding the ability to move selected items from one storage space to another. Other than that, it offers helpful features."
KitchenPal,EN,5,Lori Flynn,2023-12-28 17:39:07,"KitchenPal is very easy to use! a great way to organize your pantry, avoid waste, find recipes for what you have on hand, create shopping lists, and save money!"
KitchenPal,EN,1,Phyllis Dorsi,2023-12-28 05:14:04,App stopped letting me fill pantry list after spending time to set up. bummer!
KitchenPal,EN,1,M B,2023-12-26 17:52:31,"I had previously installed this app and then determined it was of limited use to me. In signing up on the app, I created an email address specifically for this app. Now I am starting to get scam spam at that address. Don't give this company an email address you care about. They are untrustworthy."
KitchenPal,EN,2,Abiyahu Yahshara'al,2023-12-25 22:26:22,"We ordered the full Lifetime version of the app, however it is not allowing us to use the full features. We try to add a recipe from the web, the upgrade screen pops up, we click the $29/Full Lifetime option AGAIN and another screen pops up that says ""ERROR You already own this item"" (see attached image). ADDITIONALLY, when we use the Meal planner, and we add recipes ""from within the app,"" if we use any given recipe once, it won't allow us to add that same recipe on a different meal later on."
KitchenPal,EN,3,Shelby Carlson,2023-12-25 16:09:43,"good for inventory, but I'm not getting many recipes or meal ideas. wondering if full version is something I want. but it is a good price even for a lifetime cost. I would like to know what software development is currently up to doing."
KitchenPal,EN,1,Leah Thomas,2023-12-22 14:30:49,"Way too much work. Downloaded this and started scanning items, it didn't recognise them straight away so I had to input the details in every single section, and then it kept coming up with errors as if I hadn't input anything. I wanted to input 'g' as the unit but could only save 'kg,' but then if I tried to change the number from 750 (g) to 0.75, I couldn't do that either. Won't be using, wayyy too time consuming for an organisational tool."
KitchenPal,EN,1,Magen S,2023-12-17 17:12:51,"Downloaded but the app would never load to where I could even use it. Deleted and reinstalled, did not fix the problem"
KitchenPal,EN,3,Raz & Imbri P,2023-12-17 15:10:18,"We have the premium version. It's a good app, however there are some things we don't like. More specifically the shopping list, very weird setup. When you used up a product it goes directly to the general shopping list (My List), not giving you the option to select the actual shopping list that you want it on. The only way to move it to the list you need is from the product profile in which case you cannot mark it as used up. Moreover, there is no way to move products between lists. Disappointed"
KitchenPal,EN,3,Michael Anderson,2023-12-10 20:10:57,crashes a lot but good
KitchenPal,EN,1,G Thorson,2023-12-10 03:06:33,Laggy and not very functional at all; recipes barely load and you have to deal with inane share quotas to add ingredients.
KitchenPal,EN,2,Cg Pa,2023-12-08 00:19:36,Not very user friendly if you want to just want to type in what you have in your fridge. It asks for specific brands and if you don't have those brand you have to jump through hoops just to enter yellow mustard. Deleting
KitchenPal,EN,4,Laurence Davis,2023-12-07 14:00:06,"I'm finding this app very useful. Of course it takes time to inventory your cupboards and freezers but if you remember to keep it up to date subsequently, it makes shopping and meal planning much easier and stops food spoiling in the freezer which then has to be thrown out. No major issues with the app but sometimes a bit slow to refresh."
KitchenPal,EN,2,Lynne W.,2023-12-04 20:48:58,Crashed a few times would update and lose pantry items and then they'd reappear. Force close. Uninstalled
KitchenPal,EN,5,Ashawndra Edwards (KawaiiSenshi),2023-12-04 08:56:16,"Can be glitchy at times. However, happy with the overall improvements and usability of the app! Would love to be able to add users who live in the house with me as well"
KitchenPal,EN,5,Loralee Middlebrook,2023-12-02 22:45:19,I am deeply thrilled with this app. I have been diagnosed with adhd so when things are out of sight I forget they are there. This app reminds me when things are expiring and even suggests recipes to add to the meal plan based on what ingredients we have. The scanning feature is awesome and most products (even the Canadian ones) are here. Very easy and user friendly. We signed up for a lifetime membership because this app has been a game changer for us!
KitchenPal,EN,5,HormonalHousewife The,2023-12-02 08:39:09,great inventory
KitchenPal,EN,3,Charles Lewis,2023-11-28 01:13:05,"They took my 29.95 for my subscription so I could save recipes, but I was unable to connect to a server. After your response I tried uploading another recipe. I still got a ""can't connect to server"" error, but then I checked my saved recipes. I have one approved and about a dozen copies pending. I'm not sure what the issue is..."
KitchenPal,EN,1,Kate Eccleston,2023-11-26 13:59:57,"Really hard to delete account, after kitchenpal had a data breach too! Make it possible to delete your account online without installing the app"
KitchenPal,EN,1,Mary Ann Evans,2023-11-25 15:11:50,"So I downloaded this app and found it to be basically useless so I deleted it less than a week later. Now I find out they had a data breach, so not only is it a lousy app but their security is useless as well."
KitchenPal,EN,5,Peter Sedgwick,2023-11-25 12:12:59,This is such a fantastic app for planing your shopping
KitchenPal,EN,1,Mark J (Whisky Bourbon Whiskey),2023-11-25 05:58:38,"Beware of this app. They had a data breach. I received an email from Firefox monitor - On ⁨November 14, 2023⁩, ⁨KitchenPal⁩ was breached. Once the breach was discovered and verified, it was added to our database on ⁨November 24, 2023⁩. This breach included: ⁨Dates of birth, Email addresses, and Passwords⁩"
KitchenPal,EN,1,Colin MacLeod,2023-11-22 21:25:06,Requires a membership to export.
KitchenPal,EN,5,Carol Tielking,2023-11-21 05:16:58,So far easy
KitchenPal,EN,2,Rebecca Turner,2023-11-16 00:29:16,"The categories that it places food in are not accurate. It says you can change them, but only in some cases, and only using their very limited categories. It doesn't recognize fresh foods. It says the free version holds up to 100 food items, but it only allowed 50 before it required me to share the app with others. You can find a recipe based on 1 food item, but not multiple foods, so you may not come close to what you are seeking. Really, just too many obvious problems to continue after 1 day."
KitchenPal,EN,2,Kash Ghotra,2023-11-09 02:35:41,Inventory
KitchenPal,EN,2,Karen Bauer,2023-11-06 22:47:11,"I scanned products in yesterday and tried to enter another product today and the app keeps closing, it will not stay open for me."
KitchenPal,EN,5,Neil Henderson,2023-11-06 02:07:25,"Been look for this exact app for ages, before this I was trying to manage my kitchen food with a spreadsheet :( complete inventory of all my food with expiry dates so I know what I've got and when I have to use it, that's all I wanted but this app has so much more besides, I'm very exited to see where this leads and see how much I can save too :)"
KitchenPal,EN,3,Beautiful Valley,2023-11-01 16:24:04,Nice but missing freezer option for most of the food I installed the app as I desperately need a helping tech to organize and remember the ingredients to use first but this app just does only half of the job as I can't choose to put the food in the freezer. As of now the app tells me all my food is rotten 🤨 Please add freezer option and you get 5 stars as my anti waste heroes
KitchenPal,EN,5,paul bush,2023-10-31 22:49:18,great. I only wish I could view kitchen locations in a tab view or be more customizable
KitchenPal,EN,4,kimberley,2023-10-28 11:10:58,"I have not used it properly yet, but adding in my pantry lists easy"
KitchenPal,EN,1,Liz Henderson,2023-10-24 18:32:28,app has crashed again same issue and no communication from the support team. ETA app is back up and running. The support team was very helpful and responsive. app is crashing. I use this for my facility. reached out to support and sent a video of what was happening and still no update.
KitchenPal,EN,5,John Hames,2023-10-22 21:43:23,the barcode finds the products automatically and all you do is enter. the number and expiration date works great
KitchenPal,EN,5,Andreea R,2023-10-19 06:58:25,"A very good application through which you can reduce food waste by keeping a record of the products you have in your pantry / fridge, with expiration dates. It allows you to scan barcodes to make work easier. I purchased the Premium plan for this application and my husband also benefits of the full version (I had to send a message to the development team and it was quickly resolved). We have been using it for a few weeks, we have not encountered any blockages or other problems."
KitchenPal,EN,5,Mark Chisholm,2023-10-15 23:12:39,the app has been awesome. It has really helped my wife and I not waste food. Also the support has been amazing they are super responsive and very eager to help you out. worth every dollars I highly recommend.
KitchenPal,EN,3,Stacy Banks,2023-10-10 01:32:23,Just downloaded the app. I saw it on my local news. Will check it out and let you guys know. Gave 3 stars based on reviews given and the local news reviews 😁💖 Seems pretty cool 😎
KitchenPal,EN,5,Frank Pernett,2023-10-04 07:43:55,Amazing app it helped me organising the kitchen and filling up my shopping list
KitchenPal,EN,5,playorgamble online,2023-10-02 17:56:36,great app easy to use and very effective for managing my hotel food inventory
KitchenPal,EN,5,Marisa Hughes,2023-09-29 00:04:25,exceptionally great
KitchenPal,EN,5,cow twerk,2023-09-18 02:34:11,So far so good
KitchenPal,EN,4,Joel Hilsenrath,2023-09-06 07:57:23,"The product UPC scanner is great. However, too much emphasis is placed on searching for recipes. I am looking for a Cupboard Inventory app, so we can see which items need to be purchased, and not buy too many."
KitchenPal,EN,5,Sage Jones,2023-09-03 20:51:09,"So many features I've wanted in an app, I think I'll finally be able to meal prep with my partner with ease. Got premium right away because the barcode scanning feature is divine. Customer support is also fantastic!"
KitchenPal,EN,5,Tara S (Alona1313),2023-09-02 06:05:49,I love having everything in 1 app
KitchenPal,EN,5,Rose E. Luna,2023-08-31 19:06:50,"This is EXACTLY the app I was looking for so I don't lose track of what's in my freezer, fridge or pantry! It'll take a while to input everything but once it's done, no more buying stuff I forgot I already had in the back of the shelves! I'll definitely purchase the lifetime subscription!"
KitchenPal,EN,5,M Johnson,2023-08-29 11:52:56,"We never knew what we had in the back of the fridge and what was going out of date leading to a lot of frustration with out of date food. This perfectly sorted that. It's definitely more try before you buy rather than free to use but it's worth it to get the lifetime premium as they give a premium version to a family member for free so you can synch your inventory with each other. This makes our life so much easier, definitely a game changer."
KitchenPal,EN,2,Tomorrow's Man,2023-08-20 19:42:22,Seems cool but I found a bug on first entry; why can't a quantity/amount be set for vinegar? Is it because the category can't be changed from 'condiment' and condiments are only catalogued in full bottle increments? Or is there a way to edit?
KitchenPal,EN,3,Kyle Turner,2023-08-15 23:07:53,"KitchenPal is close to being the grocery inventory app that I dreamed of, but it is not perfect. THE issue that could cause me to just stop using it is adding grocery items to KitchenPal and then changing the item description in the app to suit my unusual filing system. I get the impression that I'm ""updating"" the KitchenPal Universal Database each time I do so. If so OK, but I DON'T want item descriptions uploaded by other Users to change my item descriptions and mess up my filing system!!"
KitchenPal,EN,5,Hasanka Sandujith,2023-08-14 06:01:52,App has all the features. Recognize most of the items.
KitchenPal,EN,1,Kelly Robichaud,2023-08-13 20:19:49,"Installed, added food, ran out of space for the free version, paid because I really liked the app and now I can't log in. I've uninstalled it and reinstalled it and still nothing. Fix it or refund me."
KitchenPal,EN,1,Illya King,2023-08-13 18:25:23,Barely connects anymore.
KitchenPal,EN,1,Dom Allen,2023-08-10 18:38:40,Doesnt even let me sign up
KitchenPal,EN,5,Sharon Stovall,2023-08-06 13:14:55,I love being able to keep track of the items in my kitchen. The barcode adding items is super helpful & quick.
KitchenPal,EN,5,Andrew Barnum,2023-08-05 15:53:09,really neat helpful app
KitchenPal,EN,5,Caroline Knights,2023-08-01 12:47:10,"Great app for managing my pantry, freezer and shopping lists. Excellent database, only missing some of my homemade products, which are easily added with a photo."
KitchenPal,EN,5,Chris & Ashley Jensen,2023-07-30 02:38:40,I love this app.
KitchenPal,EN,1,Susan,2023-07-26 05:35:15,Can't trust it. Barcode brings up wrong food items. Also quite costly up front if you want to actually try to see if it works out for you.
KitchenPal,EN,2,B Morvee,2023-07-24 09:41:54,"What I needed to have was behind a pay wall. I'm not EVER going to pay a monthly subscription for anything but an MMORPG. I'm also not going to spend $30 to ""buy"" such an app. At most I'd pay $10 or less for an app like this."
KitchenPal,EN,5,Virgil Dulinsky,2023-07-24 05:50:51,this app is good keep up with all the stuff that you used in your house
